gpsno,prob,rank_pct,calib_flag,model_version
95201803,0.116157,0.71,raw_oof_fusion_corrected,sprint-g8v6-corrected
95201961,0.23915,0.824,raw_oof_fusion_corrected,sprint-g8v6-corrected
95303684,0.112987,0.702,raw_oof_fusion_corrected,sprint-g8v6-corrected
95302484,0.032139,0.29,raw_oof_fusion_corrected,sprint-g8v6-corrected
95302741,0.149914,0.74,raw_oof_fusion_corrected,sprint-g8v6-corrected
95302719,0.029759,0.25,raw_oof_fusion_corrected,sprint-g8v6-corrected
95201816,0.342874,0.908,raw_oof_fusion_corrected,sprint-g8v6-corrected
95201656,0.106829,0.694,raw_oof_fusion_corrected,sprint-g8v6-corrected
95200503,0.081604,0.636,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301356,0.336445,0.898,raw_oof_fusion_corrected,sprint-g8v6-corrected
95800700,0.232638,0.812,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300594,0.166574,0.75,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300278,0.085108,0.644,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300113,0.098046,0.678,raw_oof_fusion_corrected,sprint-g8v6-corrected
95302811,0.07831,0.628,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301728,0.054043,0.526,raw_oof_fusion_corrected,sprint-g8v6-corrected
95302333,0.054453,0.528,raw_oof_fusion_corrected,sprint-g8v6-corrected
95201242,0.073565,0.614,raw_oof_fusion_corrected,sprint-g8v6-corrected
95201536,0.109336,0.698,raw_oof_fusion_corrected,sprint-g8v6-corrected
95200591,0.161306,0.746,raw_oof_fusion_corrected,sprint-g8v6-corrected
95302616,0.04013,0.404,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300112,0.062687,0.578,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301994,0.032997,0.3,raw_oof_fusion_corrected,sprint-g8v6-corrected
95302405,0.031364,0.27,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300901,0.361558,0.918,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301530,0.141795,0.736,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300663,0.503081,0.982,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301096,0.494136,0.978,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300660,0.045712,0.452,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301548,0.488473,0.974,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301098,0.341098,0.906,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300798,0.336449,0.9,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300614,0.251216,0.828,raw_oof_fusion_corrected,sprint-g8v6-corrected
95303675,0.367985,0.924,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300854,0.438174,0.956,raw_oof_fusion_corrected,sprint-g8v6-corrected
95303471,0.077362,0.626,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301127,0.252361,0.83,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301342,0.409066,0.948,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301407,0.564727,0.996,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300922,0.260995,0.846,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301325,0.557581,0.992,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300865,0.452343,0.968,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301549,0.579196,1.0,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301498,0.564411,0.994,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300853,0.268304,0.852,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300712,0.549744,0.988,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300720,0.377634,0.934,raw_oof_fusion_corrected,sprint-g8v6-corrected
95300749,0.374044,0.928,raw_oof_fusion_corrected,sprint-g8v6-corrected
95301229,0.227219,0.806,raw_oof_fusion_corrected,sprint-g8v6-corrected
