gpsno,S_final,risk_pct,evidence_flag,rule_version
95200275,79.57,0.2043,ok,task2-final-rules-v1
95200404,79.826,0.20174,ok,task2-final-rules-v1
95200429,90.258,0.09742,ok,task2-final-rules-v1
95200489,83.868,0.16132,ok,task2-final-rules-v1
95200503,77.886,0.22114,ok,task2-final-rules-v1
95200550,82.463,0.17537,ok,task2-final-rules-v1
95200591,81.981,0.18019,ok,task2-final-rules-v1
95200699,83.859,0.16141,ok,task2-final-rules-v1
95200716,82.08,0.1792,ok,task2-final-rules-v1
95200727,89.646,0.10354,ok,task2-final-rules-v1
95200741,93.441,0.06559,ok,task2-final-rules-v1
95200759,82.309,0.17691,ok,task2-final-rules-v1
95200760,89.805,0.10195,ok,task2-final-rules-v1
95200775,85.2,0.148,ok,task2-final-rules-v1
95200789,88.867,0.11133,ok,task2-final-rules-v1
95200827,89.465,0.10535,ok,task2-final-rules-v1
95200900,94.09,0.0591,ok,task2-final-rules-v1
95200904,90.504,0.09496,ok,task2-final-rules-v1
95200962,79.191,0.20809,ok,task2-final-rules-v1
95201040,85.593,0.14407,ok,task2-final-rules-v1
95201117,91.946,0.08054,ok,task2-final-rules-v1
95201197,84.189,0.15811,ok,task2-final-rules-v1
95201242,89.749,0.10251,ok,task2-final-rules-v1
95201246,74.172,0.25828,ok,task2-final-rules-v1
95201298,92.618,0.07382,ok,task2-final-rules-v1
95201323,83.231,0.16769,ok,task2-final-rules-v1
95201443,74.689,0.25311,ok,task2-final-rules-v1
95201513,81.296,0.18704,ok,task2-final-rules-v1
95201536,84.072,0.15928,ok,task2-final-rules-v1
95201548,76.478,0.23522,ok,task2-final-rules-v1
95201609,89.92,0.1008,ok,task2-final-rules-v1
95201632,79.577,0.20423,ok,task2-final-rules-v1
95201656,83.916,0.16084,ok,task2-final-rules-v1
95201765,74.249,0.25751,ok,task2-final-rules-v1
95201803,78.267,0.21733,ok,task2-final-rules-v1
95201809,80.123,0.19877,ok,task2-final-rules-v1
95201816,78.225,0.21775,ok,task2-final-rules-v1
95201850,84.462,0.15538,ok,task2-final-rules-v1
95201961,75.779,0.24221,ok,task2-final-rules-v1
95202013,90.19,0.0981,ok,task2-final-rules-v1
95202153,84.689,0.15311,ok,task2-final-rules-v1
95300042,80.343,0.19657,ok,task2-final-rules-v1
95300054,90.05,0.0995,ok,task2-final-rules-v1
95300064,83.054,0.16946,ok,task2-final-rules-v1
95300096,87.347,0.12653,ok,task2-final-rules-v1
95300112,93.13,0.0687,ok,task2-final-rules-v1
95300113,91.488,0.08512,ok,task2-final-rules-v1
95300122,91.672,0.08328,ok,task2-final-rules-v1
95300141,84.472,0.15528,ok,task2-final-rules-v1
95300203,84.916,0.15084,ok,task2-final-rules-v1
95300222,91.066,0.08934,ok,task2-final-rules-v1
95300224,83.597,0.16403,ok,task2-final-rules-v1
95300262,92.013,0.07987,ok,task2-final-rules-v1
95300269,88.902,0.11098,ok,task2-final-rules-v1
95300278,91.914,0.08086,ok,task2-final-rules-v1
95300557,71.051,0.28949,ok,task2-final-rules-v1
95300566,70.763,0.29237,ok,task2-final-rules-v1
95300568,89.435,0.10565,ok,task2-final-rules-v1
95300580,68.742,0.31258,ok,task2-final-rules-v1
95300586,82.606,0.17394,ok,task2-final-rules-v1
95300592,72.955,0.27045,ok,task2-final-rules-v1
95300594,80.523,0.19477,ok,task2-final-rules-v1
95300606,80.853,0.19147,ok,task2-final-rules-v1
